frame# 1    1822944988 []
frame# 41   1822946322 [(616, 428, 0, 1), (643, 433, 1, 5), (617, 437, 0, 3), (663, 440, 2, 6), (599, 445, 1, 5), (681, 454, 2, 6), (581, 460, 2, 6), (691, 475, 2, 6), (573, 483, 2, 5), (695, 501, 1, 5), (580, 506, 0, 1), (574, 512, 0, 4), (688, 522, 1, 5), (586, 527, 2, 5), (672, 541, 1, 5), (604, 546, 1, 4), (625, 551, 2, 6), (652, 552, 1, 4)]
frame# 42   1822946355 [(616, 440, 0, 4), (662, 443, 2, 6), (642, 438, 1, 4), (597, 449, 1, 4), (679, 459, 2, 5), (579, 466, 2, 5), (690, 479, 2, 6), (572, 487, 2, 5), (694, 507, 1, 4), (572, 515, 0, 4), (687, 529, 1, 5), (584, 534, 2, 5), (672, 546, 1, 4), (604, 552, 1, 5), (624, 555, 2, 6), (651, 558, 1, 4)]
frame# 43   1822946388 [(640, 442, 1, 4), (661, 448, 2, 6), (597, 454, 1, 4), (616, 445, 0, 4), (679, 463, 2, 5), (578, 471, 2, 5), (572, 492, 2, 5), (690, 486, 2, 6), (691, 509, 1, 4), (572, 520, 0, 4), (685, 534, 1, 4), (584, 536, 1, 4), (670, 552, 1, 4), (604, 555, 1, 4), (623, 560, 2, 5), (648, 563, 1, 4)]
frame# 44   1822946422 [(639, 446, 1, 4), (615, 449, 0, 4), (660, 453, 2, 6), (597, 458, 1, 4), (678, 468, 2, 5), (578, 475, 2, 5), (688, 491, 2, 5), (571, 496, 2, 5), (692, 513, 1, 4), (571, 524, 0, 4), (684, 537, 1, 5), (583, 542, 2, 5), (600, 552, 2, 1), (668, 555, 1, 4), (600, 560, 1, 4), (622, 564, 2, 5), (648, 567, 1, 4)]
frame# 45   1822946455 [(640, 450, 1, 4), (613, 452, 0, 4), (660, 456, 2, 5), (595, 462, 1, 4), (678, 472, 2, 5), (577, 477, 2, 5), (688, 494, 2, 5), (570, 499, 2, 5), (692, 518, 1, 4), (569, 528, 0, 4), (684, 534, 1, 1), (684, 543, 1, 4), (581, 544, 2, 4), (668, 559, 1, 5), (599, 562, 1, 5), (621, 567, 2, 5), (647, 570, 1, 5)]
frame# 46   1822946488 [(640, 455, 1, 4), (613, 457, 0, 3), (659, 460, 2, 6), (595, 465, 1, 5), (678, 475, 2, 5), (578, 480, 2, 5), (688, 497, 2, 5), (570, 503, 2, 6), (692, 523, 1, 4), (570, 524, 0, 2), (568, 532, 0, 3), (684, 545, 1, 5), (581, 548, 2, 5), (668, 562, 1, 5), (600, 565, 1, 4), (620, 572, 2, 6), (646, 574, 1, 4)]
frame# 47   1822946522 [(639, 457, 1, 5), (659, 463, 2, 6), (613, 459, 0, 4), (595, 469, 1, 4), (677, 479, 2, 5), (577, 483, 2, 5), (688, 499, 2, 5), (567, 506, 2, 5), (691, 526, 1, 4), (564, 530, 0, 1), (569, 535, 0, 3), (579, 551, 2, 5), (683, 549, 1, 5), (667, 566, 1, 4), (598, 571, 1, 4), (619, 575, 2, 6), (645, 577, 1, 4)]
frame# 48   1822946555 [(639, 460, 1, 4), (611, 463, 0, 4), (659, 468, 2, 6), (595, 471, 1, 4), (675, 483, 2, 5), (575, 487, 2, 5), (688, 503, 2, 5), (567, 508, 2, 5), (690, 530, 1, 4), (568, 537, 0, 4), (579, 554, 2, 5), (682, 553, 1, 5), (666, 571, 1, 4), (598, 574, 1, 4), (619, 579, 2, 6), (644, 579, 1, 4)]
frame# 49   1822946588 [(640, 462, 1, 4), (613, 465, 0, 3), (594, 474, 1, 4), (659, 469, 2, 5), (678, 486, 2, 6), (577, 489, 2, 5), (687, 507, 2, 6), (568, 511, 2, 5), (690, 534, 1, 4), (568, 537, 0, 4), (580, 556, 2, 5), (683, 555, 1, 4), (666, 574, 1, 4), (598, 575, 1, 4), (619, 581, 2, 6), (644, 581, 1, 4)]
frame# 50   1822946622 [(644, 585, 1, 4), (640, 465, 1, 4), (660, 471, 2, 6), (615, 468, 0, 4), (595, 476, 1, 4), (678, 487, 2, 5), (578, 491, 2, 5), (688, 510, 2, 5), (569, 512, 2, 4), (691, 535, 1, 4), (568, 542, 0, 4), (579, 560, 2, 5), (682, 559, 1, 4), (667, 575, 1, 4), (598, 579, 1, 4), (618, 583, 2, 5)]
frame# 51   1822946655 [(640, 466, 1, 4), (659, 474, 2, 5), (614, 469, 0, 3), (595, 477, 1, 4), (678, 491, 2, 5), (578, 491, 2, 5), (687, 512, 2, 5), (568, 514, 2, 5), (690, 538, 1, 4), (568, 541, 0, 4), (580, 560, 2, 5), (683, 559, 1, 4), (666, 578, 1, 4), (598, 578, 1, 4), (618, 584, 2, 5), (644, 586, 1, 4)]
