UNIX : 115.959883 ms, RTT : 0.000982, Camera Timestamp : 100 ms, Blob info : []
UNIX : 116.961956 ms, RTT : 0.000987, Camera Timestamp : 100 ms, Blob info : []
UNIX : 117.960930 ms, RTT : 0.000985, Camera Timestamp : 100 ms, Blob info : []
UNIX : 118.961811 ms, RTT : 0.000987, Camera Timestamp : 100 ms, Blob info : []
UNIX : 119.959831 ms, RTT : 0.000983, Camera Timestamp : 100 ms, Blob info : []
UNIX : 120.959997 ms, RTT : 0.000986, Camera Timestamp : 100 ms, Blob info : []
UNIX : 121.960878 ms, RTT : 0.000987, Camera Timestamp : 100 ms, Blob info : []
UNIX : 122.961044 ms, RTT : 0.000985, Camera Timestamp : 100 ms, Blob info : []
UNIX : 123.968840 ms, RTT : 0.000993, Camera Timestamp : 100 ms, Blob info : []
UNIX : 124.963999 ms, RTT : 0.000979, Camera Timestamp : 100 ms, Blob info : []
UNIX : 125.962973 ms, RTT : 0.000985, Camera Timestamp : 100 ms, Blob info : []
UNIX : 126.963854 ms, RTT : 0.000986, Camera Timestamp : 100 ms, Blob info : []
UNIX : 127.962828 ms, RTT : 0.000984, Camera Timestamp : 100 ms, Blob info : []
UNIX : 128.963947 ms, RTT : 0.000987, Camera Timestamp : 100 ms, Blob info : []
UNIX : 129.961967 ms, RTT : 0.000984, Camera Timestamp : 100 ms, Blob info : []
FRAME #4 : []
UNIX : 130.975962 ms, RTT : 0.001000, Camera Timestamp : 133 ms, Blob info : []
UNIX : 131.963015 ms, RTT : 0.000974, Camera Timestamp : 133 ms, Blob info : []
UNIX : 132.961988 ms, RTT : 0.000984, Camera Timestamp : 133 ms, Blob info : []
UNIX : 133.962870 ms, RTT : 0.000986, Camera Timestamp : 133 ms, Blob info : []
UNIX : 134.963036 ms, RTT : 0.000985, Camera Timestamp : 133 ms, Blob info : []
UNIX : 135.963917 ms, RTT : 0.000986, Camera Timestamp : 133 ms, Blob info : []
UNIX : 136.961937 ms, RTT : 0.000984, Camera Timestamp : 133 ms, Blob info : []
UNIX : 137.961864 ms, RTT : 0.000985, Camera Timestamp : 133 ms, Blob info : []
UNIX : 138.959885 ms, RTT : 0.000984, Camera Timestamp : 133 ms, Blob info : []
UNIX : 139.957905 ms, RTT : 0.000984, Camera Timestamp : 133 ms, Blob info : []
UNIX : 140.959024 ms, RTT : 0.000986, Camera Timestamp : 133 ms, Blob info : []
UNIX : 141.957998 ms, RTT : 0.000985, Camera Timestamp : 133 ms, Blob info : []
UNIX : 142.767906 ms, RTT : 0.000796, Camera Timestamp : 133 ms, Blob info : []
UNIX : 143.950939 ms, RTT : 0.001164, Camera Timestamp : 133 ms, Blob info : []
UNIX : 144.961834 ms, RTT : 0.000996, Camera Timestamp : 133 ms, Blob info : []
UNIX : 145.959854 ms, RTT : 0.000983, Camera Timestamp : 133 ms, Blob info : []
UNIX : 146.957874 ms, RTT : 0.000983, Camera Timestamp : 133 ms, Blob info : []
UNIX : 147.958040 ms, RTT : 0.000985, Camera Timestamp : 133 ms, Blob info : []
UNIX : 148.957014 ms, RTT : 0.000984, Camera Timestamp : 133 ms, Blob info : []
UNIX : 149.956942 ms, RTT : 0.000986, Camera Timestamp : 133 ms, Blob info : []
UNIX : 150.961876 ms, RTT : 0.000991, Camera Timestamp : 133 ms, Blob info : []
UNIX : 151.958942 ms, RTT : 0.000981, Camera Timestamp : 133 ms, Blob info : []
UNIX : 152.959824 ms, RTT : 0.000987, Camera Timestamp : 133 ms, Blob info : []
UNIX : 153.956890 ms, RTT : 0.000983, Camera Timestamp : 133 ms, Blob info : []
UNIX : 154.959917 ms, RTT : 0.000988, Camera Timestamp : 133 ms, Blob info : []
UNIX : 155.957937 ms, RTT : 0.000983, Camera Timestamp : 133 ms, Blob info : []
UNIX : 156.957865 ms, RTT : 0.000985, Camera Timestamp : 133 ms, Blob info : []
UNIX : 157.958984 ms, RTT : 0.000986, Camera Timestamp : 133 ms, Blob info : []
UNIX : 158.962011 ms, RTT : 0.000989, Camera Timestamp : 133 ms, Blob info : []
UNIX : 159.961939 ms, RTT : 0.000985, Camera Timestamp : 133 ms, Blob info : []
UNIX : 160.960913 ms, RTT : 0.000985, Camera Timestamp : 133 ms, Blob info : []
UNIX : 161.958933 ms, RTT : 0.000984, Camera Timestamp : 133 ms, Blob info : []
UNIX : 162.961006 ms, RTT : 0.000987, Camera Timestamp : 133 ms, Blob info : []
FRAME #5 : []
UNIX : 163.967848 ms, RTT : 0.000992, Camera Timestamp : 166 ms, Blob info : []
UNIX : 164.964914 ms, RTT : 0.000984, Camera Timestamp : 166 ms, Blob info : []
UNIX : 165.959835 ms, RTT : 0.000980, Camera Timestamp : 166 ms, Blob info : []
UNIX : 166.962862 ms, RTT : 0.000988, Camera Timestamp : 166 ms, Blob info : []
UNIX : 167.960882 ms, RTT : 0.000984, Camera Timestamp : 166 ms, Blob info : []
UNIX : 168.960810 ms, RTT : 0.000986, Camera Timestamp : 166 ms, Blob info : []
