FRAME #1 : []
FRAME #53 : [(612, 441, 1, 4), (632, 446, 0, 5), (588, 446, 2, 5), (655, 458, 1, 4), (570, 461, 2, 6), (669, 474, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (554, 504, 2, 5), (672, 520, 2, 5), (563, 530, 1, 4), (663, 542, 1, 4), (575, 546, 2, 6), (644, 559, 1, 4), (620, 561, 1, 4), (597, 561, 1, 4)]
FRAME #54 : [(612, 441, 1, 4), (632, 446, 0, 5), (655, 458, 1, 4), (570, 461, 2, 6), (588, 447, 2, 6), (669, 474, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (554, 504, 2, 5), (672, 520, 2, 5), (563, 530, 1, 4), (663, 542, 1, 4), (575, 545, 2, 5), (644, 559, 1, 4), (598, 562, 1, 4), (620, 562, 1, 4)]
FRAME #55 : [(612, 441, 1, 4), (632, 446, 0, 5), (656, 459, 1, 4), (570, 461, 2, 6), (588, 447, 2, 5), (669, 474, 2, 6), (556, 484, 0, 4), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 5), (563, 530, 1, 4), (663, 542, 1, 5), (575, 546, 2, 5), (644, 559, 1, 4), (592, 558, 1, 1), (620, 563, 1, 4), (599, 563, 1, 3)]
FRAME #56 : [(612, 441, 1, 4), (633, 446, 0, 5), (655, 458, 1, 4), (570, 461, 2, 6), (588, 447, 2, 5), (669, 475, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (673, 520, 2, 5), (562, 530, 1, 4), (663, 542, 1, 4), (575, 545, 2, 5), (644, 559, 1, 4), (620, 562, 1, 4), (599, 562, 1, 4)]
FRAME #57 : [(612, 441, 1, 4), (633, 446, 0, 5), (656, 458, 1, 4), (570, 461, 2, 6), (588, 447, 2, 5), (669, 474, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 6), (562, 530, 1, 4), (662, 542, 1, 4), (575, 545, 2, 5), (644, 559, 1, 4), (619, 562, 1, 4), (597, 561, 1, 4)]
FRAME #58 : [(612, 441, 1, 4), (633, 446, 0, 5), (656, 458, 1, 4), (570, 462, 2, 6), (588, 447, 2, 6), (669, 474, 2, 6), (558, 476, 3, 2), (555, 485, 0, 4), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 5), (562, 530, 1, 4), (663, 543, 1, 4), (575, 545, 2, 5), (644, 558, 1, 5), (619, 562, 1, 4), (596, 560, 1, 4)]
FRAME #59 : [(612, 441, 1, 4), (633, 446, 0, 5), (588, 446, 2, 5), (655, 458, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6), (560, 476, 3, 1), (555, 485, 0, 4), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 5), (562, 530, 1, 4), (663, 543, 1, 4), (575, 546, 2, 6), (644, 559, 1, 5), (619, 562, 1, 4), (597, 561, 1, 4)]
FRAME #60 : [(612, 441, 1, 4), (633, 446, 0, 5), (588, 446, 2, 5), (655, 457, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 6), (562, 530, 1, 4), (663, 542, 1, 4), (575, 545, 2, 5), (644, 559, 1, 4), (619, 562, 1, 4), (597, 561, 1, 4)]
FRAME #61 : [(612, 441, 1, 4), (632, 446, 0, 5), (656, 458, 1, 4), (570, 461, 2, 6), (587, 447, 2, 5), (669, 474, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 6), (563, 530, 1, 4), (663, 542, 1, 4), (575, 545, 2, 5), (644, 559, 1, 4), (621, 563, 1, 4), (597, 560, 1, 4)]
FRAME #62 : [(612, 441, 1, 4), (633, 446, 0, 5), (656, 459, 1, 4), (570, 461, 2, 6), (588, 447, 2, 5), (669, 474, 2, 6), (556, 484, 0, 5), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 5), (562, 530, 1, 4), (663, 542, 1, 4), (575, 545, 2, 5), (620, 556, 2, 1), (644, 559, 1, 4), (619, 563, 1, 4), (598, 562, 1, 3)]
FRAME #63 : [(644, 559, 1, 4), (620, 562, 1, 4), (598, 563, 1, 3), (612, 441, 1, 4), (634, 446, 0, 5), (656, 459, 1, 4), (570, 461, 2, 6), (588, 447, 2, 5), (669, 475, 2, 6), (556, 483, 1, 5), (675, 497, 2, 5), (555, 505, 2, 5), (673, 520, 2, 5), (562, 531, 1, 4), (663, 542, 1, 4), (575, 546, 2, 6)]
FRAME #64 : [(612, 441, 1, 4), (633, 446, 1, 5), (656, 459, 1, 4), (570, 461, 2, 6), (587, 447, 2, 5), (669, 475, 2, 6), (555, 484, 0, 4), (675, 497, 2, 5), (555, 505, 2, 5), (672, 520, 2, 5), (562, 530, 1, 4), (663, 543, 1, 4), (575, 546, 2, 6), (644, 558, 1, 5), (620, 561, 1, 4), (597, 560, 1, 4)]
FRAME #65 : [(612, 441, 1, 4), (587, 446, 2, 5), (632, 446, 0, 5), (656, 457, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6), (558, 476, 3, 2), (556, 485, 0, 4), (675, 497, 2, 6), (554, 504, 2, 5), (673, 520, 2, 6), (562, 529, 1, 4), (663, 543, 1, 4), (575, 546, 2, 6), (644, 557, 1, 4), (597, 560, 1, 4), (620, 562, 1, 4)]
